transaction_id,customer_id,merchant_id,amount,payment_method,bank,failure_reason,failure_category,attempt_count,previous_success_count,previous_failure_count,preferred_payment_method,customer_tenure_days,customer_value_segment,hour_of_day,day_of_week,merchant_category,checkout_abandoned,checkout_duration_seconds,device_type,historical_avg_order_value,recovery_action,recovery_success,recovery_delay_minutes,recovered_amount
tx_rec_100000,cust_15238,mer_128,23308.31,UPI,Punjab National Bank,USER_CANCELLED,INTENT_ABANDONMENT,1,47,5,UPI,2,VIP,16,1,E-Commerce & Retail,0,58,MOBILE_ANDROID,17741.57,WHATSAPP_CONCIERGE,1,14.9,23308.31
tx_rec_100001,cust_10839,mer_239,4259.71,UPI,State Bank of India,TRANSACTION_LIMIT,FINANCIAL_LIMIT,1,9,4,UPI,60,STANDARD,2,0,SaaS & Cloud Services,0,320,MOBILE_ANDROID,3502.35,TIMED_SMART_RETRY,1,335.6,4259.71
tx_rec_100002,cust_11905,mer_229,110296.47,CARD,Axis Bank,EXPIRED_CARD,INVALID_INSTRUMENT,2,30,5,CARD,12,ENTERPRISE,14,5,SaaS & Cloud Services,0,575,MOBILE_ANDROID,107196.04,UPI_INTENT_FALLBACK,0,0.0,0.0
tx_rec_100003,cust_14464,mer_207,10170.34,UPI,HDFC Bank,INSUFFICIENT_FUNDS,FINANCIAL_LIMIT,1,3,4,UPI,32,STANDARD,11,6,Travel & Hospitality,0,39,DESKTOP,7673.58,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100004,cust_16216,mer_140,40059.01,CARD,State Bank of India,EXPIRED_CARD,INVALID_INSTRUMENT,2,118,4,UPI,62,ENTERPRISE,8,1,SaaS & Cloud Services,0,29,MOBILE_ANDROID,41162.91,UPI_INTENT_FALLBACK,1,3.3,40059.01
tx_rec_100005,cust_16254,mer_186,6099.72,CARD,State Bank of India,OTP_FAILED,AUTHENTICATION,1,6,3,CARD,29,STANDARD,10,2,Quick Commerce & Food,0,99,MOBILE_ANDROID,7278.7,SMART_PAYLINK_1CLICK,1,1.9,6099.72
tx_rec_100006,cust_14945,mer_167,2333.8,UPI,Axis Bank,USER_CANCELLED,INTENT_ABANDONMENT,2,2,3,UPI,30,STANDARD,16,4,SaaS & Cloud Services,0,68,DESKTOP,2136.68,WHATSAPP_CONCIERGE,1,65.7,2333.8
tx_rec_100007,cust_17555,mer_196,7127.66,UPI,State Bank of India,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,10,1,UPI,83,STANDARD,7,5,SaaS & Cloud Services,0,59,MOBILE_ANDROID,7851.93,UPI_INTENT_FALLBACK,1,1.8,7127.66
tx_rec_100008,cust_17059,mer_192,5980.08,UPI,State Bank of India,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,3,4,UPI,195,STANDARD,18,0,E-Commerce & Retail,0,90,MOBILE_ANDROID,6770.44,SMART_PAYLINK_1CLICK,1,12.4,5980.08
tx_rec_100009,cust_16332,mer_174,6676.74,UPI,ICICI Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,10,7,CARD,270,STANDARD,12,6,EdTech & Learning,0,257,MOBILE_IOS,7833.4,SMART_PAYLINK_1CLICK,1,1.1,6676.74
